project_project_id,cases_case_id,cases_submitter_id,samples_sample_id,samples_submitter_id,portions_portion_id,portions_submitter_id,analytes_a260_a280_ratio,analytes_amount,analytes_analyte_id,analytes_analyte_quantity,analytes_analyte_type,analytes_analyte_type_id,analytes_analyte_volume,analytes_concentration,analytes_experimental_protocol_type,analytes_normal_tumor_genotype_snp_match,analytes_ribosomal_rna_28s_16s_ratio,analytes_rna_integrity_number,analytes_spectrophotometer_method,analytes_state,analytes_submitter_id,analytes_well_number
TCGA-SKCM,391eab51-b140-4bc2-bc8c-99400fba9066,TCGA-ER-A19Q,1bbef533-eb97-492c-a674-ac5c8b8ac7f2,TCGA-ER-A19Q-06A,8d1a6f64-1ff6-40ad-b234-037528d3e185,TCGA-ER-A19Q-06A-11,,,78ade276-b762-49c7-b50e-bb82f36fabd2,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A19Q-06A-11D,
TCGA-SKCM,8ee500d6-c7b3-46e9-86d0-933695934707,TCGA-EE-A29G,bcdaacce-d122-4b0b-a069-249ef6583a3b,TCGA-EE-A29G-06A,617ca40b-9810-4bff-908b-8421e49af455,TCGA-EE-A29G-06A-12,,,5c841034-5a84-4fd5-b20d-14aa7424f0ed,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EE-A29G-06A-12W,
TCGA-SKCM,8ee500d6-c7b3-46e9-86d0-933695934707,TCGA-EE-A29G,bcdaacce-d122-4b0b-a069-249ef6583a3b,TCGA-EE-A29G-06A,617ca40b-9810-4bff-908b-8421e49af455,TCGA-EE-A29G-06A-12,,,95176ed9-03c7-42c6-bec3-e53c7c0d3e12,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-EE-A29G-06A-12D,
TCGA-SKCM,8ee500d6-c7b3-46e9-86d0-933695934707,TCGA-EE-A29G,bcdaacce-d122-4b0b-a069-249ef6583a3b,TCGA-EE-A29G-06A,617ca40b-9810-4bff-908b-8421e49af455,TCGA-EE-A29G-06A-12,1.78,,e9389a26-4479-44f7-b4ff-6e7cd696ed41,,RNA,R,,0.18,nRNA - Melanoma Protocol,Yes,1.5,8.4,UV Spec,released,TCGA-EE-A29G-06A-12R,
TCGA-SKCM,8ee500d6-c7b3-46e9-86d0-933695934707,TCGA-EE-A29G,cdd83868-f59a-4d46-bafd-c32972b0cdc7,TCGA-EE-A29G-10A,40284d70-a3f2-43f1-bcdc-e90a8e5e7f46,TCGA-EE-A29G-10A-01,,,394e803d-bf61-47b3-ab39-4aeafc98d7d6,,DNA,D,,0.17,Pre-extracted DNA received by TSS,Yes,,,PicoGreen,released,TCGA-EE-A29G-10A-01D,
TCGA-SKCM,8ee500d6-c7b3-46e9-86d0-933695934707,TCGA-EE-A29G,cdd83868-f59a-4d46-bafd-c32972b0cdc7,TCGA-EE-A29G-10A,40284d70-a3f2-43f1-bcdc-e90a8e5e7f46,TCGA-EE-A29G-10A-01,,,85ec4f3e-c5d9-4523-8812-3179eae7a733,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EE-A29G-10A-01W,
TCGA-SKCM,391eab51-b140-4bc2-bc8c-99400fba9066,TCGA-ER-A19Q,1bbef533-eb97-492c-a674-ac5c8b8ac7f2,TCGA-ER-A19Q-06A,8d1a6f64-1ff6-40ad-b234-037528d3e185,TCGA-ER-A19Q-06A-11,1.75,,8e30578a-3611-439c-abb7-53bb4a904036,,RNA,R,,0.18,nRNA - Melanoma Protocol,Yes,1.5,8.9,UV Spec,released,TCGA-ER-A19Q-06A-11R,
TCGA-SKCM,391eab51-b140-4bc2-bc8c-99400fba9066,TCGA-ER-A19Q,1bbef533-eb97-492c-a674-ac5c8b8ac7f2,TCGA-ER-A19Q-06A,8d1a6f64-1ff6-40ad-b234-037528d3e185,TCGA-ER-A19Q-06A-11,,,a486804a-0249-4a2c-9a4e-40069c89b063,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A19Q-06A-11W,
TCGA-SKCM,391eab51-b140-4bc2-bc8c-99400fba9066,TCGA-ER-A19Q,9a2863ab-9c6c-4a1c-9405-d18063553dd6,TCGA-ER-A19Q-10A,86d63fd8-0d28-405e-b0b4-69550de645b4,TCGA-ER-A19Q-10A-01,,,19116a95-5266-4aae-bf13-5bbb76216c18,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A19Q-10A-01W,
TCGA-SKCM,391eab51-b140-4bc2-bc8c-99400fba9066,TCGA-ER-A19Q,9a2863ab-9c6c-4a1c-9405-d18063553dd6,TCGA-ER-A19Q-10A,86d63fd8-0d28-405e-b0b4-69550de645b4,TCGA-ER-A19Q-10A-01,,,47db5387-2270-42d4-9678-b509016b3d3b,,DNA,D,,0.15,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A19Q-10A-01D,
TCGA-SKCM,7fb87427-9b19-4378-86d5-f4f775f97805,TCGA-DA-A1I4,0683bc5b-15f9-432b-afcb-5d57f606a89f,TCGA-DA-A1I4-10A,78a08de0-e2dd-4b29-8687-a56958d1208a,TCGA-DA-A1I4-10A-01,,,5e6aa95e-3230-4422-af6b-8ee1f64388ca,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-DA-A1I4-10A-01W,
TCGA-SKCM,7fb87427-9b19-4378-86d5-f4f775f97805,TCGA-DA-A1I4,0683bc5b-15f9-432b-afcb-5d57f606a89f,TCGA-DA-A1I4-10A,78a08de0-e2dd-4b29-8687-a56958d1208a,TCGA-DA-A1I4-10A-01,,,cc920c94-09d1-4dbe-8347-7588b179d723,,DNA,D,,0.15,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-DA-A1I4-10A-01D,
TCGA-SKCM,7fb87427-9b19-4378-86d5-f4f775f97805,TCGA-DA-A1I4,59cc09e5-b474-4301-995c-a1d998770906,TCGA-DA-A1I4-06A,32cf363b-a610-4cf6-a34f-439ed89a4be7,TCGA-DA-A1I4-06A-11,,,38a73596-a2c8-4676-9d0f-aa2c858360ce,,DNA,D,,0.18,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-DA-A1I4-06A-11D,
TCGA-SKCM,7fb87427-9b19-4378-86d5-f4f775f97805,TCGA-DA-A1I4,59cc09e5-b474-4301-995c-a1d998770906,TCGA-DA-A1I4-06A,32cf363b-a610-4cf6-a34f-439ed89a4be7,TCGA-DA-A1I4-06A-11,,,d954708d-f18c-470e-8d8c-35067b165d59,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-DA-A1I4-06A-11W,
TCGA-SKCM,7fb87427-9b19-4378-86d5-f4f775f97805,TCGA-DA-A1I4,59cc09e5-b474-4301-995c-a1d998770906,TCGA-DA-A1I4-06A,32cf363b-a610-4cf6-a34f-439ed89a4be7,TCGA-DA-A1I4-06A-11,1.79,,f6abdd2d-c04f-4af8-afa9-df244079b8b1,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,0.9,8.2,UV Spec,released,TCGA-DA-A1I4-06A-11R,
TCGA-SKCM,c4ed9e22-b5d7-4469-89a8-861a86791c8b,TCGA-D9-A3Z4,110cfd41-b8ce-4276-b442-f8ce61eecae1,TCGA-D9-A3Z4-10A,76f1449a-fd5b-4f7a-ab1d-8cbb905c5535,TCGA-D9-A3Z4-10A-01,,,0a594767-f0b7-465c-a634-a3e421c92241,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-D9-A3Z4-10A-01W,
TCGA-SKCM,c4ed9e22-b5d7-4469-89a8-861a86791c8b,TCGA-D9-A3Z4,110cfd41-b8ce-4276-b442-f8ce61eecae1,TCGA-D9-A3Z4-10A,76f1449a-fd5b-4f7a-ab1d-8cbb905c5535,TCGA-D9-A3Z4-10A-01,,,57ebea72-3e5c-4a9d-90da-81d75a1a7dc1,,DNA,D,,0.14,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-D9-A3Z4-10A-01D,
TCGA-SKCM,c4ed9e22-b5d7-4469-89a8-861a86791c8b,TCGA-D9-A3Z4,eb7f4f8a-97ff-41aa-8471-7f7fffe1e225,TCGA-D9-A3Z4-01A,0e44a559-3afc-45e2-a7a0-a9eeaf32bf01,TCGA-D9-A3Z4-01A-11,,,132dcd44-2416-473f-9ffe-9e72e0c30e8c,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-D9-A3Z4-01A-11D,
TCGA-SKCM,c4ed9e22-b5d7-4469-89a8-861a86791c8b,TCGA-D9-A3Z4,eb7f4f8a-97ff-41aa-8471-7f7fffe1e225,TCGA-D9-A3Z4-01A,0e44a559-3afc-45e2-a7a0-a9eeaf32bf01,TCGA-D9-A3Z4-01A-11,,,a28e3beb-1fd0-45c7-a709-7ffac8d4fe47,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-D9-A3Z4-01A-11W,
TCGA-SKCM,c4ed9e22-b5d7-4469-89a8-861a86791c8b,TCGA-D9-A3Z4,eb7f4f8a-97ff-41aa-8471-7f7fffe1e225,TCGA-D9-A3Z4-01A,0e44a559-3afc-45e2-a7a0-a9eeaf32bf01,TCGA-D9-A3Z4-01A-11,1.87,,d8c024ba-149a-4b10-a4e6-9bd1d3ec6545,,RNA,R,,0.15,nRNA - Melanoma Protocol,Yes,1.8,8.2,UV Spec,released,TCGA-D9-A3Z4-01A-11R,
TCGA-SKCM,a9eb1022-ffd3-42de-a39d-2126fc7ec0ce,TCGA-ER-A196,239f69f7-e78a-4b09-bf00-e521f63a3bb4,TCGA-ER-A196-01A,c09d049c-eb25-42af-8211-96cb3442e63c,TCGA-ER-A196-01A-11,,,6f6a3e41-d03b-4c3f-b3d1-dc69b04f3678,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A196-01A-11W,
TCGA-SKCM,a9eb1022-ffd3-42de-a39d-2126fc7ec0ce,TCGA-ER-A196,239f69f7-e78a-4b09-bf00-e521f63a3bb4,TCGA-ER-A196-01A,c09d049c-eb25-42af-8211-96cb3442e63c,TCGA-ER-A196-01A-11,1.76,,ad1dd08e-13a2-43a0-8b53-7716a2676252,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,2.3,9.7,UV Spec,released,TCGA-ER-A196-01A-11R,
TCGA-SKCM,a9eb1022-ffd3-42de-a39d-2126fc7ec0ce,TCGA-ER-A196,239f69f7-e78a-4b09-bf00-e521f63a3bb4,TCGA-ER-A196-01A,c09d049c-eb25-42af-8211-96cb3442e63c,TCGA-ER-A196-01A-11,,,e29bc2a8-8204-4b68-8849-24410360c6c0,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A196-01A-11D,
TCGA-SKCM,a9eb1022-ffd3-42de-a39d-2126fc7ec0ce,TCGA-ER-A196,cc5637d5-960b-46f9-bedb-80773965d67e,TCGA-ER-A196-10A,2399e89b-df78-4249-ae39-35fc89d52486,TCGA-ER-A196-10A-01,,,11f7c37d-fd72-48f7-94c7-099b5f8c1e74,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A196-10A-01W,
TCGA-SKCM,a9eb1022-ffd3-42de-a39d-2126fc7ec0ce,TCGA-ER-A196,cc5637d5-960b-46f9-bedb-80773965d67e,TCGA-ER-A196-10A,2399e89b-df78-4249-ae39-35fc89d52486,TCGA-ER-A196-10A-01,,,4a4696f4-d8f5-4c38-96e4-0bbf323f3a59,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A196-10A-01D,
TCGA-SKCM,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0,TCGA-EE-A20C,9b6c6176-219c-4a50-97cb-e8a74e3193f1,TCGA-EE-A20C-06A,79e90c38-78ab-455a-85d7-48a14fc8d09e,TCGA-EE-A20C-06A-11,,,70dc2500-f2d6-4414-b033-e6375d072a0f,,DNA,D,,0.15,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-EE-A20C-06A-11D,
TCGA-SKCM,1b3f92b7-658a-4bbd-b086-20c1cd976d54,TCGA-ER-A2ND,c1ccc353-a697-4d4f-b982-6a7d5fb8549f,TCGA-ER-A2ND-06A,1b87c55d-b6eb-4d4e-8eaf-79662c48865a,TCGA-ER-A2ND-06A-11,,,332b0652-23d7-4b08-8223-8f5d0bb213c5,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A2ND-06A-11W,
TCGA-SKCM,1b3f92b7-658a-4bbd-b086-20c1cd976d54,TCGA-ER-A2ND,c1ccc353-a697-4d4f-b982-6a7d5fb8549f,TCGA-ER-A2ND-06A,1b87c55d-b6eb-4d4e-8eaf-79662c48865a,TCGA-ER-A2ND-06A-11,,,7f70b07e-1761-4954-a70e-8f852efe58fe,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A2ND-06A-11D,
TCGA-SKCM,1b3f92b7-658a-4bbd-b086-20c1cd976d54,TCGA-ER-A2ND,c1ccc353-a697-4d4f-b982-6a7d5fb8549f,TCGA-ER-A2ND-06A,1b87c55d-b6eb-4d4e-8eaf-79662c48865a,TCGA-ER-A2ND-06A-11,1.86,,fb973828-a323-439d-a1ab-d0aa6bec057a,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,1.2,8.8,UV Spec,released,TCGA-ER-A2ND-06A-11R,
TCGA-SKCM,1b3f92b7-658a-4bbd-b086-20c1cd976d54,TCGA-ER-A2ND,e0e18e28-317f-460f-990a-40fb558e56e3,TCGA-ER-A2ND-10A,3730b9fd-7093-45c2-a5d4-62cde799e497,TCGA-ER-A2ND-10A-01,,,3a34dfd1-2ec3-4aeb-88d7-7fbd5bd23d3a,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-ER-A2ND-10A-01W,
TCGA-SKCM,1b3f92b7-658a-4bbd-b086-20c1cd976d54,TCGA-ER-A2ND,e0e18e28-317f-460f-990a-40fb558e56e3,TCGA-ER-A2ND-10A,3730b9fd-7093-45c2-a5d4-62cde799e497,TCGA-ER-A2ND-10A-01,,,d68a0975-61b2-4740-b3b6-8d4833473cdd,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-ER-A2ND-10A-01D,
TCGA-SKCM,2e6f9985-6d13-4b08-8a40-5ea44e9553f0,TCGA-EB-A5FP,4f3a13bf-b878-4ebf-953e-c7dcc1e296c7,TCGA-EB-A5FP-10A,1ec52a38-b43b-4ed9-9a68-49a2ff2745c0,TCGA-EB-A5FP-10A-01,,,3800807c-5592-449a-bae4-07baea646bc7,,DNA,D,,0.14,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-EB-A5FP-10A-01D,
TCGA-SKCM,2e6f9985-6d13-4b08-8a40-5ea44e9553f0,TCGA-EB-A5FP,4f3a13bf-b878-4ebf-953e-c7dcc1e296c7,TCGA-EB-A5FP-10A,1ec52a38-b43b-4ed9-9a68-49a2ff2745c0,TCGA-EB-A5FP-10A-01,,,4bb4ae87-e432-46e4-9353-2df055081694,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EB-A5FP-10A-01W,
TCGA-SKCM,2e6f9985-6d13-4b08-8a40-5ea44e9553f0,TCGA-EB-A5FP,6a9b002f-81d5-46d9-b0f3-825fc527f92f,TCGA-EB-A5FP-01A,0df297e9-9e16-4084-8088-936aef363c13,TCGA-EB-A5FP-01A-11,1.87,,57b7361e-ea05-48c1-9562-8f8cdc12fe02,,RNA,R,,0.15,nRNA - Melanoma Protocol,Yes,1.49,8.5,UV Spec,released,TCGA-EB-A5FP-01A-11R,
TCGA-SKCM,2e6f9985-6d13-4b08-8a40-5ea44e9553f0,TCGA-EB-A5FP,6a9b002f-81d5-46d9-b0f3-825fc527f92f,TCGA-EB-A5FP-01A,0df297e9-9e16-4084-8088-936aef363c13,TCGA-EB-A5FP-01A-11,,,7cc31387-156a-4ba5-8cfd-dd426382984a,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EB-A5FP-01A-11W,
TCGA-SKCM,2e6f9985-6d13-4b08-8a40-5ea44e9553f0,TCGA-EB-A5FP,6a9b002f-81d5-46d9-b0f3-825fc527f92f,TCGA-EB-A5FP-01A,0df297e9-9e16-4084-8088-936aef363c13,TCGA-EB-A5FP-01A-11,,,ed5b9333-ed4e-4647-8ac3-d5c5be85c56a,,DNA,D,,0.15,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-EB-A5FP-01A-11D,
TCGA-SKCM,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0,TCGA-EE-A20C,9b6c6176-219c-4a50-97cb-e8a74e3193f1,TCGA-EE-A20C-06A,79e90c38-78ab-455a-85d7-48a14fc8d09e,TCGA-EE-A20C-06A-11,1.79,,ff764966-fa4c-4e9b-b2f5-1958f72e92fa,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,1.4,7.2,UV Spec,released,TCGA-EE-A20C-06A-11R,
TCGA-SKCM,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0,TCGA-EE-A20C,e5792242-f3ef-49ce-9e6b-f3f4a2475ca6,TCGA-EE-A20C-10A,7b97be25-c3fc-48c1-b5c7-16d9efadf30d,TCGA-EE-A20C-10A-01,,,15cb6d3c-b7e9-4d48-b4fb-b0e45fefd7c8,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EE-A20C-10A-01W,
TCGA-SKCM,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0,TCGA-EE-A20C,e5792242-f3ef-49ce-9e6b-f3f4a2475ca6,TCGA-EE-A20C-10A,7b97be25-c3fc-48c1-b5c7-16d9efadf30d,TCGA-EE-A20C-10A-01,,,2e85c091-819f-43fa-abf2-ccd8bd3f48f3,,DNA,D,,0.17,Pre-extracted DNA received by TSS,Yes,,,PicoGreen,released,TCGA-EE-A20C-10A-01D,
TCGA-SKCM,bc71a91d-8ad1-4bab-a4fa-89470aa4e4d0,TCGA-EE-A20C,9b6c6176-219c-4a50-97cb-e8a74e3193f1,TCGA-EE-A20C-06A,79e90c38-78ab-455a-85d7-48a14fc8d09e,TCGA-EE-A20C-06A-11,,,a23d373a-1164-4be2-910e-7b9a5a818a10,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EE-A20C-06A-11W,
TCGA-SKCM,667d5c5e-abc0-4fb8-b6c4-739f7cb3f0fe,TCGA-EB-A5UM,14842d52-f246-41be-86f9-8ef535f1160a,TCGA-EB-A5UM-01A,044f0d29-5140-48cc-8bb0-e95fd5401644,TCGA-EB-A5UM-01A-11,,,077f8e18-62c3-4720-ad68-a65d97d504c8,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EB-A5UM-01A-11W,
TCGA-SKCM,f0744fa2-db4a-40de-9fd2-f61863fd98d4,TCGA-D9-A1X3,0dceb511-4d42-4be9-b6da-f399f8d3c5b0,TCGA-D9-A1X3-10A,b1992ea1-821c-440f-bc19-072ba77962c2,TCGA-D9-A1X3-10A-01,,,be16c89b-d3cd-419c-88f6-8442b90761f6,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-D9-A1X3-10A-01W,
TCGA-SKCM,f0744fa2-db4a-40de-9fd2-f61863fd98d4,TCGA-D9-A1X3,989c7c90-4017-4395-ad7b-4fb221370028,TCGA-D9-A1X3-06A,287fad45-4f31-4962-a812-cf50ec88d658,TCGA-D9-A1X3-06A-11,,,0d36d199-da14-41fc-908f-bca7a1abbafb,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-D9-A1X3-06A-11W,
TCGA-SKCM,f0744fa2-db4a-40de-9fd2-f61863fd98d4,TCGA-D9-A1X3,989c7c90-4017-4395-ad7b-4fb221370028,TCGA-D9-A1X3-06A,287fad45-4f31-4962-a812-cf50ec88d658,TCGA-D9-A1X3-06A-11,,,185d3d19-7c2b-434c-8af3-fcef159e2579,,DNA,D,,0.16,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-D9-A1X3-06A-11D,
TCGA-SKCM,f0744fa2-db4a-40de-9fd2-f61863fd98d4,TCGA-D9-A1X3,989c7c90-4017-4395-ad7b-4fb221370028,TCGA-D9-A1X3-06A,287fad45-4f31-4962-a812-cf50ec88d658,TCGA-D9-A1X3-06A-11,1.78,,a0c918c9-7149-49e1-a810-f801eef62c5a,,RNA,R,,0.16,nRNA - Melanoma Protocol,Yes,1.6,9.3,UV Spec,released,TCGA-D9-A1X3-06A-11R,
TCGA-SKCM,fc5b5d2f-0d03-45c2-b7a0-ba6ec108fe51,TCGA-EE-A29C,27c69419-2272-46e8-ae91-5a441a29bdb1,TCGA-EE-A29C-10A,853ca432-cc2f-44ee-873a-adef14a49a29,TCGA-EE-A29C-10A-01,,,9fb5818f-49a0-43e0-a22b-343accd93aa8,,Repli-G (Qiagen) DNA,W,,,Repli-G,Yes,,,,released,TCGA-EE-A29C-10A-01W,
TCGA-SKCM,fc5b5d2f-0d03-45c2-b7a0-ba6ec108fe51,TCGA-EE-A29C,27c69419-2272-46e8-ae91-5a441a29bdb1,TCGA-EE-A29C-10A,853ca432-cc2f-44ee-873a-adef14a49a29,TCGA-EE-A29C-10A-01,,,dcea45d0-4fb7-451b-a703-1bc1a5308f3f,,DNA,D,,0.18,Pre-extracted DNA received by TSS,Yes,,,PicoGreen,released,TCGA-EE-A29C-10A-01D,
TCGA-SKCM,fc5b5d2f-0d03-45c2-b7a0-ba6ec108fe51,TCGA-EE-A29C,e6b3b5f4-1a6b-40be-a1de-1c680855f5d6,TCGA-EE-A29C-06A,26fec172-e28a-4c87-a8d5-c75660a97996,TCGA-EE-A29C-06A-21,1.78,,5eab97b5-654d-4c2b-862c-4f0ee7e624de,,RNA,R,,0.17,nRNA - Melanoma Protocol,Yes,1.9,8.2,UV Spec,released,TCGA-EE-A29C-06A-21R,
TCGA-SKCM,fc5b5d2f-0d03-45c2-b7a0-ba6ec108fe51,TCGA-EE-A29C,e6b3b5f4-1a6b-40be-a1de-1c680855f5d6,TCGA-EE-A29C-06A,26fec172-e28a-4c87-a8d5-c75660a97996,TCGA-EE-A29C-06A-21,,,ed66f944-621c-468e-868d-a53297d3687a,,DNA,D,,0.17,aDNA Preparation Type,Yes,,,PicoGreen,released,TCGA-EE-A29C-06A-21D,
